Sale_ID,Date_Sold,Address,City,State,ZIP_Code,Bedrooms,Bathrooms,Square_Feet,Lot_Size_acres,Year_Built,Sale_Price,Listing_Price,Agent_Name,Agency
HS100028,2023-06-10,"751 Chad Ridges, Gordonshire, CA 70729",Herreraland,WY,71685,4,3,4352,0.17,1972,710187,812178,Ashley Williams,"Perkins, Adams and Garrison"
HS100029,2020-12-07,"155 Williams Ferry, New Allisonchester, RI 09765",East Leslie,TN,12174,4,3,1712,0.62,1951,146143,175849,Kevin Gaines,Hudson PLC
HS100030,2024-01-02,"36841 Adams Flats, Lake Erin, NV 25997",South Amyhaven,ID,99269,3,3,1287,0.62,1971,768013,305493,Robert Medina MD,Romero-Pollard
HS100031,2021-04-22,"8614 Powell Way, West Kevin, KS 03612",West Wayne,NM,38845,4,1,3428,1.6,2006,194771,654111,Pamela Silva,Sherman-Torres
HS100032,2025-01-16,"76726 Jared Point Apt. 055, Lake Thomas, SC 18640",Russellton,TX,86723,4,3,3232,1.95,2021,556713,154215,Mark Key,"Beck, Dennis and Castillo"
HS100033,2023-08-25,"905 Eric Villages, South Kenneth, MT 87293",South Thomasmouth,MD,93459,1,1,4428,0.81,1956,950959,815359,Shawn Wiggins,Jones PLC
HS100034,2022-08-29,"40258 Smith Estates, Fernandezville, ME 05909",Jamesshire,LA,00612,3,1,3236,0.91,2005,822332,82230,Aimee Osborne,Smith-Turner
HS100035,2023-07-11,"76114 Gallegos Ports Apt. 865, Gilbertside, OR 64540",Port Dannychester,IN,53943,5,1,3830,1.71,2016,710673,396717,Kimberly Murray,"Burgess, Simmons and Thompson"
HS100036,2020-09-12,"309 Christopher Point, Ericmouth, TN 63181",Hensleybury,CT,76015,3,2,1088,0.61,1965,718958,797948,James Duncan PhD,Valentine-Wells
HS100037,2024-03-26,"0614 Jennifer Turnpike Suite 491, East Michaelview, KY 94665",North Karen,KS,72836,5,1,3618,0.4,2000,161362,512092,Leslie Lewis MD,"Reyes, Lawrence and Herring"
HS100038,2023-07-24,"7598 William Land, Christinachester, NY 75918",Lake Kenneth,AZ,42628,1,1,1947,1.72,2021,820805,352788,Shannon Pena,Gonzalez LLC
HS100039,2022-04-16,"02957 Nicholas Hollow, North Stevenview, NE 98292",Lake Aaronberg,NM,66465,2,2,4281,0.19,1961,340951,229736,Jasmine Stephens,"Weaver, Simon and Adams"
HS100040,2022-06-05,"10026 Campbell Shoal Suite 473, Port Christyburgh, VT 28524",Lake Charles,IL,37700,4,1,4052,1.28,2002,774750,881635,Kim Thompson,"Aguilar, Jimenez and Woodward"
HS100041,2022-09-15,"200 Stanley Harbors, East Daryl, HI 73764",Perezstad,RI,74747,1,3,3773,1.17,1954,226298,378821,Kristina Moses,"Brown, Herrera and Vega"
HS100042,2023-08-25,"283 Amy Plain Suite 280, North Aaronberg, MO 03968",Lake Mariaside,OK,86723,4,3,1093,0.76,1976,633838,468641,William Whitaker III,Gonzalez and Sons
HS100043,2021-08-04,"744 Alicia Mountain Apt. 159, Maryton, WI 41668",Brownchester,ME,86919,2,1,2267,0.7,1961,523288,697534,Taylor Camacho,Johnson Inc
HS100044,2020-12-28,"2355 Rollins Gardens Suite 596, Port Ruthland, NE 46410",Port Caleb,GA,08278,2,2,2237,1.57,1966,315702,134817,Matthew Carpenter,Patton PLC
HS100045,2024-08-01,"3469 Lisa Parkway, Murphyland, HI 64111",Elizabethtown,MT,36179,1,3,618,0.26,1955,362257,288657,Joshua Hall,Miller LLC
HS100046,2020-10-15,"757 Bonilla Road, Mikemouth, DE 60047",South Nicole,OH,73179,2,2,4125,0.55,1954,889431,267033,Patrick Moses,Cook-Wright
HS100047,2022-12-08,"52653 Sandra Lock Apt. 097, Port Lauraport, WI 79999",Leefurt,NJ,53570,5,2,4153,1.49,2006,761238,281414,Brittney Johnston,"Dixon, Robles and Perry"
HS100048,2023-01-05,"22476 Michaela Hills, Brianamouth, VA 41799",South Gail,MI,97126,2,3,4265,1.14,1977,108219,306812,Joseph Anderson,May and Sons
HS100049,2021-11-04,"5073 Dawson Coves, Amyberg, PA 02804",Lake Kathyport,DC,14456,4,2,3044,0.34,2018,740546,906238,Lauren Smith,Tran Group
HS100050,2024-04-10,"29907 Robinson Gardens Suite 327, East Chadport, KS 40395",Gonzalezhaven,VA,64137,4,3,1600,1.78,2008,739129,354958,Richard Andersen,Adams LLC
HS100051,2024-04-15,"0172 Seth Village Apt. 155, Port Jesse, TX 45998",Sydneyton,MA,00928,4,2,3950,0.85,1982,825292,644507,Heather Taylor,Jones Inc
HS100052,2022-04-19,"1263 Lynch Plains, West Rachel, AZ 60410",West Robert,CO,04057,4,3,1450,1.67,2011,831624,220956,Michael Ward,Hutchinson Ltd
HS100053,2023-05-04,"139 Barron Crescent Apt. 942, Lauramouth, WY 67885",Matthewfurt,NH,16157,5,1,1988,1.6,1999,286495,407489,Briana Oliver,"Rodriguez, Murray and Weber"
HS100054,2024-06-01,"31493 Ramirez Lights Suite 673, Lake Elizabethstad, VA 26018",Amberfort,HI,24879,3,3,1954,1.29,1968,627506,307134,Angela Macdonald,Clark-Marshall
HS100055,2021-10-07,"0005 Shannon Mission, New Crystalside, MI 96799",Harrisland,NC,46241,1,3,4312,1.04,2018,331373,412232,Desiree Price,Owens Group
HS100056,2025-01-13,"56824 Stacy Skyway, South Victoria, TN 54740",Port Tasha,AL,76955,4,3,1967,1.96,2015,911641,905754,Terry Cohen,Rivers-Barry
HS100057,2021-10-20,"1839 Huynh Tunnel, New Veronicamouth, SC 55758",New Brett,LA,01245,2,3,1421,0.38,1996,602165,71650,Perry Nguyen,King PLC
HS100058,2021-06-27,"4242 Sawyer Squares, Richardsonview, RI 20882",Jamesstad,ID,55341,4,2,1054,1.48,1988,239073,406386,Patricia Howard,Conway-Hernandez
HS100059,2023-04-11,"6956 Joy Village, Shelleyfort, WY 53449",Scottshire,DC,90684,2,1,2224,0.46,2017,409281,976694,John Richards,Anderson-Ford
HS100060,2024-08-04,"1729 Jessica Mountain, Bishopstad, VA 16922",South Brooke,NC,82761,2,3,3372,0.74,1982,874516,874628,Mark Robinson,Crane LLC
HS100061,2021-12-18,"92131 Leach Divide, Sarahland, HI 57133",Wesleystad,WA,93601,4,2,4326,0.69,1962,918212,220521,Jeremy Curtis,"Lawrence, Valdez and Parker"
HS100062,2022-10-17,"995 Hampton Mount, West Williamton, PA 97606",Scottstad,ME,97742,5,1,3736,1.9,2003,197878,220733,Shawn Barron,"Morse, Crane and Chandler"
HS100063,2023-02-06,"84331 Carlos Divide Apt. 343, Donaldberg, ME 09467",East Amberchester,CT,39585,2,1,3747,1.94,1956,269707,866141,Jamie Haley,Bell and Sons
HS100064,2020-10-27,"7887 Rodriguez Oval Suite 855, Lake Keithburgh, SC 42635",Longbury,CT,44561,2,1,1310,0.45,1963,291249,292037,William Smith,Payne-Carlson
HS100065,2022-05-28,"4569 Torres Orchard, Lake Samuelport, NJ 62593",West Danielleshire,CT,91585,4,1,2790,0.14,1968,87034,130428,Jennifer Boyd,Woods-Williams
HS100066,2024-01-10,"339 Jessica Light, Port Melissa, CO 31365",Lake Joefurt,TX,51878,2,3,1516,1.47,2003,221389,256251,Julia Smith DDS,"Reyes, Li and Young"
HS100067,2024-11-16,"8549 English Junctions Apt. 066, Mossfort, FL 12661",Josephview,KY,14141,2,3,3475,0.89,1969,891900,584231,Sue Woods,"Reed, Morales and Gregory"
HS100068,2025-04-27,"72396 Leah Island, West Hollyside, TN 23307",East Thomasmouth,OR,26840,4,2,3252,0.27,1978,462310,748600,Jimmy Patterson,Villarreal and Sons
HS100069,2020-09-29,"5362 Darren Burgs Suite 415, North Austin, MA 97249",Campbellfurt,MT,56156,4,2,2096,1.4,1973,763156,488976,Michelle Boone,"Bailey, Johnson and Poole"
HS100070,2020-09-06,"28758 Hart Turnpike Apt. 103, Hendersonfurt, ID 56962",West Latoyashire,MI,55439,1,2,2040,1.14,2012,60589,71042,Teresa Brennan,Watts-Hart
HS100071,2021-04-03,"2458 Erin Turnpike, Sophiabury, KY 84596",Jayfurt,NM,28183,5,1,904,1.96,2006,107221,827130,Daniel Garcia,Morris Group
HS100072,2020-09-24,"19628 Quinn Row Suite 173, East Sandra, MS 26114",New Danielchester,GA,90306,5,1,1335,0.53,1957,305927,880326,Walter Espinoza,Anderson LLC
HS100073,2021-07-20,"030 Eric Circles Suite 262, Christopherchester, NH 41219",New Joan,NM,22900,2,3,4168,0.87,2011,838089,974373,Katherine Velasquez,"Jackson, Werner and Ingram"
HS100074,2022-03-10,"4615 Robertson Knolls Apt. 886, Raymondshire, OH 54992",Port Williamtown,IL,88621,5,1,2938,1.13,1978,410444,368903,Pamela Mason,Robinson Inc
HS100075,2021-05-04,"Unit 6598 Box 7271, DPO AA 84618",West Jordan,RI,67715,2,1,2563,1.6,1966,691517,418117,Devon Johnson,Blanchard PLC
HS100076,2022-06-14,"05015 Houston Throughway Suite 573, Amandatown, HI 01258",West Jamesfort,CO,86050,1,1,2749,1.14,2015,875963,880738,Chad Davis,"Fisher, Parker and Park"
HS100077,2021-07-05,"Unit 3152 Box 0894, DPO AP 04065",Brownton,OH,76948,4,2,2609,1.26,1955,626515,944801,Sarah Warner,Rice Inc
HS100078,2022-04-03,"562 Nicole Creek, Edwinchester, AZ 75026",Pierceside,KY,49265,4,2,3938,0.53,2007,315308,760731,Alicia Smith,"Rowland, Hanson and Tucker"
HS100079,2021-05-13,"1271 Tyler Vista Suite 818, South Jeffreybury, MI 72354",North Rhondashire,SD,92295,4,3,3514,1.71,2018,143078,726278,Melanie Burns,"Davila, Barrera and Johnson"
HS100080,2021-12-11,"2293 Thomas Corners, Port Jose, AZ 50585",Maureenborough,OR,25989,5,1,3615,0.91,1977,877679,864811,Cynthia Barnes,"Hernandez, Taylor and Charles"
HS100081,2023-09-21,"17891 Kimberly Corner Apt. 719, Gonzalezport, RI 73945",Sharpchester,TN,83643,1,1,4293,0.37,2011,809401,432811,Tracy Gibson,"Smith, Morales and Wolfe"
HS100082,2022-03-14,"21140 Fuller Hills, Fosterview, SD 27215",Port Kristinaborough,NM,75528,5,3,3621,1.36,1990,987105,551691,Chelsea Booker,"Velez, Alexander and Owens"
HS100083,2023-03-07,"5590 Kelly Crossroad, Byrdfurt, KY 58806",Stephensport,NM,03133,5,1,3489,0.51,2018,624887,264304,Christian Martin,Dawson and Sons
HS100084,2025-01-29,"8282 Tucker Cliff, Aaronside, ID 89524",Lake Courtneytown,CO,77159,1,1,1561,0.29,1990,514761,446178,Dorothy Robinson,Garcia-Hughes
HS100085,2025-01-30,"59483 Gould Ramp Suite 104, New Michael, NH 08552",Brooksstad,NH,13314,1,2,3589,1.74,1998,820655,719211,Jamie Gonzales,Decker PLC
HS100086,2024-10-07,"47860 Shelia Villages, Ellenland, ME 82077",West Amanda,MT,28872,1,3,4448,0.97,1998,972056,954058,Rose Vega,"Perry, Robinson and Porter"
HS100087,2022-02-17,"064 Amy Forks Apt. 399, West Sharon, WV 67152",Port Gabriel,SD,54261,1,3,1626,1.52,2020,559668,488963,John Melendez,"Patterson, Jackson and Johnson"
HS100088,2024-02-29,"6883 David Rapid Suite 015, Leslieview, WV 74326",Castroland,GA,91404,4,3,2732,0.65,1952,976921,961612,Phyllis Rodriguez,Walker Inc
HS100089,2024-12-21,"714 Brandon Ranch, Acevedofurt, WI 79705",Victormouth,MO,27951,3,3,4465,1.6,1959,239651,364493,John Allen,Harper-Moore
HS100090,2022-05-11,"0971 Hickman Station, West Amber, ND 84598",East Karen,AK,08300,3,2,2975,0.31,1984,550741,251904,Heidi Harris,Crane LLC
HS100091,2021-10-02,"26507 Roberson Viaduct Apt. 506, Francoton, GA 61739",Jonport,MS,34331,1,2,3463,0.78,1951,118207,761716,Michael Frazier,"Mcbride, Silva and Pitts"
HS100092,2024-12-06,"856 Allen Field Apt. 448, West Sandra, NV 38009",Port Theresa,WI,01323,3,1,2073,1.96,1973,384199,720105,David Bell,Rodriguez-Johnson
HS100093,2024-06-26,"080 Molly Wells Suite 662, Christopherborough, MD 44411",Alexandershire,ME,70543,3,1,3101,1.61,1987,938698,55730,Lisa Parker,Clark-Ross
HS100094,2022-10-05,"05589 Schmidt Orchard Apt. 053, Natalieport, DE 12125",Deanland,NH,55865,1,1,2547,1.04,1971,390414,457137,Monica Armstrong,"Nichols, Moreno and Hansen"
HS100095,2021-06-16,"10065 Dunn Mount Suite 468, West Amy, NC 22572",Jeffreyburgh,MO,06179,3,1,3276,0.75,1975,161426,803790,Russell Elliott,Smith-Grimes
HS100096,2025-01-10,"7223 Gonzalez Lock, Lake Rebecca, MA 84582",Brownshire,WI,09121,5,2,3892,1.76,1992,561081,252210,Justin Cummings,Webster-Hart
HS100097,2023-02-02,"646 Fields Grove Apt. 470, West Timothy, OR 96772",Russellton,RI,07077,2,3,1777,1.14,2004,184794,788471,Eric Gonzalez,Miller-Sparks
HS100098,2023-02-04,"20029 Orr Ranch, North Mariemouth, VA 09470",Port Michael,VA,48240,2,2,1264,1.54,1988,906874,69023,Pamela Brown,"Neal, Cooper and Haley"
HS100099,2021-08-19,"55257 Clark Mission Suite 801, New Kimberly, KY 50971",West Heather,SC,06174,1,1,611,1.53,1978,407776,701084,Daniel Robbins,Jordan-Bell
HS100100,2023-03-25,"3439 Nicholas Junctions Suite 471, Frankstad, IN 94803",Port Trevor,AL,30335,4,2,1756,0.13,1969,745391,917965,Donna Rodriguez,Walters-Castro
HS100101,2023-07-16,"61002 Monica Village Apt. 208, Wrightside, MI 57641",Simmonsfurt,AR,75018,1,3,903,0.34,1990,784595,395430,Gerald Thompson,"Pierce, Serrano and Gomez"
HS100102,2023-04-03,"40336 Lamb Passage, North Kimberlyburgh, VA 64583",Jesseville,MS,32121,4,3,3964,1.35,2003,595726,878411,Marissa Holloway,"Davis, Morgan and Diaz"
HS100103,2024-05-10,"019 Gonzalez Gateway Apt. 695, New Janemouth, OR 20872",New Julie,NH,96382,2,2,3622,0.41,1969,633107,859269,Bradley Curry,"Phelps, Whitaker and Baldwin"
HS100104,2023-07-09,"810 Flores Loop, Thompsonberg, VA 67605",Melissaberg,HI,69268,1,2,3971,0.59,1968,93856,458213,Theresa George,"Campbell, Perry and Friedman"
HS100105,2021-08-30,"8619 Christopher Vista Apt. 418, Stephenland, NH 31138",East Danielberg,WA,85688,5,2,2363,1.9,2015,476792,941407,Mia Patterson,Carr-Sexton
HS100106,2024-09-08,"77157 Stephen Club Suite 657, Jonesberg, OK 77635",Elijahstad,OK,39287,3,1,3430,1.16,1979,878370,750399,Robert Long,"Patel, Jones and Lee"
HS100107,2025-07-23,"2779 Richardson Trace, South Alan, IA 18825",East Kenneth,TX,87050,4,2,642,1.53,2002,492244,570610,Stephanie Frederick,Garrett Ltd
HS100108,2025-04-16,"732 Pamela Common, South Codyview, WY 57383",Mullenfort,NV,09545,3,2,1543,1.16,1983,109807,70923,Danny Howard,Hernandez PLC
HS100109,2022-01-20,"08316 Serrano Garden, Edwardstown, HI 90433",New Tracyburgh,TX,40979,3,2,2990,1.15,1971,886309,845308,Mariah Brown,Griffin LLC
HS100110,2020-12-31,"15251 Prince Pike, Jamestown, ID 76877",Elizabethport,NJ,34952,1,3,1949,0.28,2016,540999,897405,Christopher Brock,Kane LLC
HS100111,2025-01-28,"137 Montgomery Rapids, Suzannefort, ND 86353",Maryfort,KY,84366,3,3,4485,0.75,1955,93461,446103,Kelly Downs,"Mason, Clark and Marshall"
HS100112,2021-07-09,"826 Myers Freeway, Lake Eric, NE 08431",South Jonathan,NY,41427,5,1,3145,0.64,1976,667762,244795,Jerome Lane,"Wilkinson, Silva and Parker"
HS100113,2021-11-05,"37300 Cook Cliffs Apt. 928, Smithfort, MD 42674",East Joseph,KS,14685,3,1,3011,0.84,1959,395280,878854,Brittany Hernandez,"Schneider, Wolf and Hopkins"
HS100114,2020-12-12,"19170 Miller Orchard, South Brittany, MT 09700",Dustinland,VA,24285,1,3,1490,1.62,1997,332579,283462,Nicole Anderson,"Hartman, Avila and Hawkins"
HS100115,2024-05-24,"882 Lee Road Apt. 849, Rossburgh, CO 48777",West Christina,VT,31567,5,3,3074,0.81,2019,789477,101413,Alex Garcia,Wood Inc
HS100116,2021-08-26,"PSC 1565, Box 5079, APO AE 69600",Browntown,WY,09375,2,3,1604,0.96,2008,457407,938916,Michael Oneill,James Inc
HS100117,2020-12-07,"186 Taylor Trail Apt. 585, Linbury, NM 99204",East Seanshire,SD,04221,3,2,620,0.86,2008,921158,970345,Christopher Stewart,Pratt LLC
HS100118,2020-08-23,"7753 Greer Haven Suite 687, Seanstad, PA 31311",Barbertown,MD,22823,1,2,1006,0.28,1951,304730,305719,Dr. Alan Mccullough,Davis-Gomez
HS100119,2024-11-11,"1024 Rogers Meadow, North Christopher, WY 90209",East Greg,LA,09009,2,3,3266,0.94,1978,296732,603044,Holly Collins,Taylor Group
HS100120,2021-04-19,"7525 Jeremy Mission, West Connieberg, PA 79212",Denisemouth,GA,84624,2,2,1614,0.47,2017,470602,383720,Jessica Hill,"Davies, Johnson and Ramirez"
HS100121,2021-09-11,"00327 John Shores Apt. 065, New Travis, MT 68659",East Crystal,KY,77754,4,2,935,0.45,2014,737081,692536,Nathan Meyer,Johnson Ltd
HS100122,2023-04-08,"0829 Jennifer Manors Apt. 019, Petersonborough, TX 27449",Port Mariaview,MA,27254,5,1,2438,0.28,1975,629074,322448,Lauren Brooks,Davidson Ltd
HS100123,2023-10-19,"414 Johnson Groves Apt. 983, North Nathan, KY 71155",New Angelamouth,DC,24335,3,3,3788,0.78,1959,325848,604629,Jonathan Anderson,Pierce-Shepherd
HS100124,2022-04-24,"709 Pope Mills, Port Richard, MN 84312",New Trevorville,MS,47316,1,3,1747,1.54,2002,106635,972262,Timothy Johnson,Kaiser-Bennett
HS100125,2025-02-22,"865 Scott Parks, Williamsmouth, KY 82006",Edwardsmouth,MA,16558,4,2,3046,0.63,2008,969627,460226,Charles Ramos,Gordon and Sons
HS100126,2025-05-09,"53501 Megan Curve Suite 174, South Charlesstad, VT 10634",Nicolehaven,IL,49302,5,3,3440,0.69,1971,402854,177039,Steven Sanford,"Steele, Wheeler and Beasley"
HS100127,2024-04-10,"87936 Washington Pass, Port John, NY 66919",West Kathyview,UT,79989,4,1,2427,1.32,2000,815197,766118,Anna Flores,Hunt-Oneal
HS100128,2021-11-01,"2605 William Keys Apt. 459, Lake Edwinmouth, VA 60333",Lake Meganborough,MS,88139,5,1,1314,0.47,1997,295984,737018,Brian Leonard,Stuart Group
HS100129,2021-03-08,"945 William Causeway Apt. 992, South Aaronport, TX 97538",West Linda,NV,84644,5,1,650,1.8,1970,375137,230074,Darlene Hale,Watson and Sons
HS100130,2024-05-06,"6320 Amanda Run Suite 451, South Amy, DC 81108",Lake Yolandamouth,OR,23210,3,3,4454,1.09,1971,162752,808678,Penny Reynolds,"Randall, Wells and Horn"
HS100131,2022-05-19,"435 Brooke Light, North Ryanshire, MI 59374",Antonioland,VT,98019,5,3,923,0.95,1979,261194,706735,Jerry Moore,Leblanc-Edwards
HS100132,2021-09-13,"PSC 2168, Box 1199, APO AP 39760",North Rachelland,MA,49723,4,3,1388,1.16,1974,278584,673773,Adam Robinson,"Hicks, Harper and White"
HS100133,2024-10-04,"USNV Reed, FPO AE 68874",Lake Christieberg,MN,84410,5,3,740,0.42,1977,468632,858524,Michael Carr,King-Carter
HS100134,2025-06-30,"76425 Alvarez Springs Apt. 538, Ryanville, MN 94741",South Jeremyton,DC,02800,3,3,1069,1.27,2014,182886,181562,Jennifer Johnson,Navarro-Fleming
HS100135,2025-07-09,"6641 Washington Unions Suite 841, Jenniferborough, SD 40204",Port Brettmouth,IL,87384,3,1,1386,0.79,1994,128537,53729,Danielle Blake,Hernandez-Robinson
HS100136,2021-06-08,"174 Wong Terrace Suite 438, North Crystal, WA 47607",Ryanburgh,IL,63291,4,2,2425,1.8,2017,886690,711334,Richard Blair,Murphy PLC
HS100137,2021-06-02,"11304 Jackson Cove Suite 563, Davidstad, VT 61036",Perryton,LA,03389,2,1,1957,0.42,1956,721868,692510,David Collins,Woods Group
HS100138,2022-05-17,"815 Amanda Shoals Apt. 408, Melissaberg, MN 82945",Wendymouth,LA,50184,2,3,2516,1.06,1998,135166,397360,Mallory Sheppard,Costa-Newton
HS100139,2022-03-04,"366 Burns Gateway Apt. 906, East Jessica, SC 34890",North Matthew,GA,69016,5,1,1563,1.24,1958,784276,658148,John Mitchell,Perkins-Pratt
HS100140,2022-01-26,"54044 Edwards Road Apt. 161, West Kathleenstad, KY 22673",New Steven,AL,06928,1,3,3655,0.16,1985,425854,308360,Jenna Blankenship,Harrison and Sons
HS100141,2020-09-24,"09350 Yoder Island Suite 715, Clarkside, MT 90438",Matthewside,AR,73529,5,3,972,0.79,1950,347843,409014,Emily Butler,"Scott, Middleton and Williams"
HS100142,2023-03-09,"47840 Fowler Point, Port Jessica, CO 67420",Justinburgh,NM,99779,4,1,4235,1.49,1959,358479,71398,Cynthia Anderson,Chapman-Scott
HS100143,2024-11-15,"752 James Lake, Stephenbury, UT 04824",Smithburgh,WV,98716,4,3,3141,1.66,1985,883238,346794,Danielle Allen,Campos-Contreras
HS100144,2024-09-27,"46780 Blankenship Pine Apt. 172, Thomaschester, MI 28679",Ballardmouth,NJ,39755,4,2,4210,0.7,1995,914285,988796,Darryl Richards,"Owens, Graham and Stanley"
HS100145,2021-02-16,"269 Jacob Point Apt. 511, South Meredithberg, IA 68513",Lake Anneland,OH,47978,4,3,2292,1.62,1981,769128,678177,Amy Gibson,Norris LLC
HS100146,2023-08-08,"9706 Chen Center, South Nicole, AR 16264",South Margaretborough,CA,28477,4,2,3398,1.94,1981,347883,315303,Michael Crawford,Hanson Ltd
HS100147,2020-10-24,"USNV Green, FPO AE 64760",New Carol,AR,45690,3,2,1779,1.73,1955,609073,410306,William Lewis,"Ferguson, Sanders and Turner"
HS100148,2021-03-13,"99342 Reilly Shores Apt. 872, Port Nicolebury, NH 94058",North Frances,KS,55135,2,3,2938,0.32,1997,213052,505982,Cassandra Day,Moore Ltd
HS100149,2024-04-15,"3809 Diana Ports Suite 560, Lake Kylehaven, CT 88808",Lake Connie,OR,80820,4,1,2271,1.51,1987,806079,275959,Cameron Ali,Smith-Greer
HS100150,2023-12-13,"912 Nancy Locks Apt. 451, Port Katherine, AL 81863",West Coleton,NE,79175,1,2,3815,0.71,1966,537918,677122,Danielle Allen,"Barnett, Osborne and Berry"
